Rank,MovieName,ReleaseYear,EloRating,TimesCompeted,LetterboxdLink
76,Jurassic Park,1993,1222,12,https://letterboxd.com/film/jurassic-park/
77,2001: A Space Odyssey,1968,1219,12,https://letterboxd.com/film/2001-a-space-odyssey/
78,Avengers: Infinity War,2018,1216,12,https://letterboxd.com/film/avengers-infinity-war/
79,Midsommar,2019,1214,12,https://letterboxd.com/film/midsommar/
80,Battle Royale,2000,1214,12,https://letterboxd.com/film/battle-royale/
81,Avengers: Endgame,2019,1212,12,https://letterboxd.com/film/avengers-endgame/
82,My Neighbor Totoro,1988,1212,12,https://letterboxd.com/film/my-neighbor-totoro/
83,Wicked,2024,1211,12,https://letterboxd.com/film/wicked-2024/
84,Indiana Jones and the Last Crusade,1989,1209,12,https://letterboxd.com/film/indiana-jones-and-the-last-crusade/
85,Nickel Boys,2024,1209,12,https://letterboxd.com/film/nickel-boys/
86,The Wind Rises,2013,1207,12,https://letterboxd.com/film/the-wind-rises/
87,Barbie,2023,1206,12,https://letterboxd.com/film/barbie/
88,The Disaster Artist,2017,1206,12,https://letterboxd.com/film/the-disaster-artist/
89,How to Train Your Dragon,2010,1204,12,https://letterboxd.com/film/how-to-train-your-dragon/
90,The Banshees of Inisherin,2022,1203,12,https://letterboxd.com/film/the-banshees-of-inisherin/
91,Poor Things,2023,1203,12,https://letterboxd.com/film/poor-things-2023/
92,Shrek,2001,1203,12,https://letterboxd.com/film/shrek/
93,Akira,1988,1202,12,https://letterboxd.com/film/akira/
94,Her,2013,1202,12,https://letterboxd.com/film/her/
95,The Mitchells vs. The Machines,2021,1200,12,https://letterboxd.com/film/the-mitchells-vs-the-machines/
96,Pirates of the Caribbean: The Curse of the Black Pearl,2003,1200,12,https://letterboxd.com/film/pirates-of-the-caribbean-the-curse-of-the-black-pearl/
97,The Zone of Interest,2023,1200,12,https://letterboxd.com/film/the-zone-of-interest/
98,Jaws,1975,1198,12,https://letterboxd.com/film/jaws/
99,To Kill A Mockingbird,1962,1198,12,https://letterboxd.com/film/to-kill-a-mockingbird/
100,The Lion King,1994,1198,12,https://letterboxd.com/film/the-lion-king/
101,The Sixth Sense,1999,1198,12,https://letterboxd.com/film/the-sixth-sense/
102,Alien,1979,1196,12,https://letterboxd.com/film/alien/
103,The Great Dictator,1940,1195,12,https://letterboxd.com/film/the-great-dictator/
104,Top Gun: Maverick,2022,1194,12,https://letterboxd.com/film/top-gun-maverick/
105,The Menu,2022,1193,12,https://letterboxd.com/film/the-menu-2022/
106,All Quiet on the Western Front,2022,1192,12,https://letterboxd.com/film/all-quiet-on-the-western-front-2022/
107,Conclave,2024,1192,12,https://letterboxd.com/film/conclave/
108,Letters From Iwo Jima,2006,1191,12,https://letterboxd.com/film/letters-from-iwo-jima/
109,The Truman Show,1998,1191,12,https://letterboxd.com/film/the-truman-show/
110,Superbad,2007,1188,12,https://letterboxd.com/film/superbad/
111,The Revenant,2015,1188,12,https://letterboxd.com/film/the-revenant-2015/
112,The Iron Giant,1999,1188,12,https://letterboxd.com/film/the-iron-giant/
113,Toy Story 2,1999,1187,12,https://letterboxd.com/film/toy-story-2/
114,Million Dollar Baby,2004,1186,12,https://letterboxd.com/film/million-dollar-baby/
115,Kung Fu Panda,2008,1185,12,https://letterboxd.com/film/kung-fu-panda/
116,Dunkirk,2017,1184,12,https://letterboxd.com/film/dunkirk-2017/
117,Batman Begins,2005,1182,12,https://letterboxd.com/film/batman-begins/
118,A Real Pain,2024,1182,12,https://letterboxd.com/film/a-real-pain/
119,Return of the Jedi,1983,1179,12,https://letterboxd.com/film/return-of-the-jedi/
120,Little Women,2019,1178,12,https://letterboxd.com/film/little-women-2019/
121,Kill Bill Vol. 2,2004,1177,12,https://letterboxd.com/film/kill-bill-vol-2/
122,Argo,2012,1176,12,https://letterboxd.com/film/argo/
123,The Lego Movie,2014,1176,12,https://letterboxd.com/film/the-lego-movie/
124,Coco,2017,1173,12,https://letterboxd.com/film/coco-2017/
125,Moana,2016,1173,12,https://letterboxd.com/film/moana-2016/
126,Inside Out,2015,1172,12,https://letterboxd.com/film/inside-out-2015/
127,Saw II,2005,1171,12,https://letterboxd.com/film/saw-ii/
128,Toy Story,1995,1171,12,https://letterboxd.com/film/toy-story/
129,How to Train Your Dragon 2,2014,1170,12,https://letterboxd.com/film/how-to-train-your-dragon-2/
130,The Princess Bride,1987,1169,12,https://letterboxd.com/film/the-princess-bride/
131,Aladdin,1992,1169,12,https://letterboxd.com/film/aladdin/
132,Steve Jobs,2015,1161,12,https://letterboxd.com/film/steve-jobs/
133,Glass Onion: A Knives Out Mystery,2022,1158,12,https://letterboxd.com/film/glass-onion-a-knives-out-mystery/
134,The Terminator,1984,1158,12,https://letterboxd.com/film/the-terminator/
135,Jojo Rabbit,2019,1157,12,https://letterboxd.com/film/jojo-rabbit/
136,Molly's Game,2017,1157,12,https://letterboxd.com/film/mollys-game/
137,Scream,1997,1156,12,https://letterboxd.com/film/scream/
138,District 9,2009,1153,12,https://letterboxd.com/film/district-9/
